ResearcherName,FieldOfResearch,TopicName,Percentage
Andhika Estiyono,Engineering,Electric Car,100.0
Andhika Estiyono,Engineering,Engineering,50.0
Andhika Estiyono,Engineering,Ergonomics,50.0
Andhika Estiyono,Engineering,Internal Combustion Engine,50.0
Andhika Estiyono,Engineering,Lithium Ion Battery,25.0
Andhika Estiyono,Engineering,Front Wheel,25.0
Andhika Estiyono,Engineering,Passenger Cars,25.0
Andhika Estiyono,Engineering,Design Result,25.0
Andhika Estiyono,Engineering,Wheelbase,25.0
Andhika Estiyono,Engineering,Headlamp,25.0
Andhika Estiyono,Engineering,Part Design,25.0
Andhika Estiyono,Engineering,Energy Crisis,25.0
Andhika Estiyono,Engineering,Electrical Technology,25.0
Andhika Estiyono,Engineering,Fuel Energy,25.0
Andhika Estiyono,Engineering,Body Part,25.0
Andhika Estiyono,Engineering,Electric Motor,25.0
Andhika Estiyono,Engineering,Scale Model,25.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Pollution,100.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Conditioning,91.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Filter,91.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Conditioning System,91.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Frame,60.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Energy Engineering,55.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Ergonomics,50.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Apartment Building,44.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Coefficient of Performance,43.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Airflow Pattern,41.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Road,40.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Building Unit,37.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Prototype,35.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Static Loading,34.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Bicycle Frame,34.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Simulation,34.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Thermal Comfort,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Alternative,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Thermal Simulation,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Operational Cost,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Method,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Pressure Drop,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Building Construction,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Drive System,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Cooling Load,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computational Fluid Dynamics,24.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Engineering,20.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Finite Element Simulation,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Velocity,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Effective Solution,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Minimum Standard,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Process,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Technological Development,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Exhaust Gas,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Pipe Diameter,11.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Input Value,11.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Measurement,11.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Product Design,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Engineering Analysis,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Aided Engineering,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Patent Right,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Problem Statement,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Aided Manufacturing,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Finite Element Analysis,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Construction Engineering,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Aided Design,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Building Industry,9.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Energy Conservation,9.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Flow Pattern,9.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Flow,
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,dataFT KBD.xlsx,
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Product design techniques,
Ari Dwi Krisbianto, S.T., M.Ds.,Engineering,Frame,100.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Additive Manufacturing,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Printing Process,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Yield Point,27.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Three Dimensional Printing,26.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Implant,22.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Recycled Material,16.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Breakpoint,16.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Computer Aided Design,16.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Limitations,16.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Object Layer,16.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Module Design,16.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Maximum Stress,16.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Computer Numerical Control,11.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Biocomposite,11.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Solidification Process,11.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Medical Applications,11.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Osteoconductivity,11.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Shaping Technology,11.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Stainless Steel,11.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Healing Process,11.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Made Material,11.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Simulation Result,11.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Polymerization,11.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Three Dimensional Printing,100.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Ultimate Tensile Strength,58.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Biomaterial,50.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Implant Material,42.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Materials Application,33.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Dental Prosthesis,33.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Materials Class,33.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Physical Property,33.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Material Selection,33.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Solidification,33.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Yield Stress,27.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Shaft,16.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Stainless Steel,16.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Materials Design,11.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Polypropylene,11.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Biocomposites,8.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Polymerization,8.0
Djoko Kuswanto, S.T., M.Biotech.,Material Science,Bone Cement,
Primaditya, S.Sn., M.Ds.
,Engineering,Pitch Angle,100.0
Primaditya, S.Sn., M.Ds.
,Engineering,Rotor Speed,100.0
Primaditya, S.Sn., M.Ds.
,Engineering,Compressed Air Motors,100.0
Primaditya, S.Sn., M.Ds.
,Engineering,Wind Power,33.0
Primaditya, S.Sn., M.Ds.
,Engineering,Wind Power Generation,33.0
Primaditya, S.Sn., M.Ds.
,Engineering,Speed Data,33.0
Primaditya, S.Sn., M.Ds.
,Engineering,Power Output,33.0
Primaditya, S.Sn., M.Ds.
,Engineering,Main Problem,33.0
Primaditya, S.Sn., M.Ds.
,Engineering,Levenberg-Marquardt Algorithm,33.0
Primaditya, S.Sn., M.Ds.
,Engineering,Artificial Neural Network,
MY Alief Samboro, S.T., M.Ds.,Engineering,Snap Fit,100.0
MY Alief Samboro, S.T., M.Ds.,Engineering,Computer Numerical Control,33.0
Hertina Susandari, S.T., M.T.,Computer Science,Online Communities,100.0
Hertina Susandari, S.T., M.T.,Computer Science,User-Centered Design,100.0
Hertina Susandari, S.T., M.T.,Computer Science,Marketing Plan,100.0
Hertina Susandari, S.T., M.T.,Computer Science,Case Study,100.0
Hertina Susandari, S.T., M.T.,Computer Science,Comparative Case Study,100.0
Hertina Susandari, S.T., M.T.,Computer Science,Postgraduate Student,100.0
Hertina Susandari, S.T., M.T.,Computer Science,Software Development,
Hertina Susandari, S.T., M.T.,Social Sciences,Communities,100.0
Hertina Susandari, S.T., M.T.,Social Sciences,Empathy,100.0
Hertina Susandari, S.T., M.T.,Social Sciences,Case Study,100.0
Hertina Susandari, S.T., M.T.,Social Sciences,Indonesia,64.0
Hertina Susandari, S.T., M.T.,Social Sciences,Group Discussion,50.0
Hertina Susandari, S.T., M.T.,Social Sciences,Focus Group,50.0
Hertina Susandari, S.T., M.T.,Social Sciences,Coral Reef,50.0
Hertina Susandari, S.T., M.T.,Social Sciences,Online Communities,14.0
Hertina Susandari, S.T., M.T.,Social Sciences,State Owned Enterprise,14.0
Hertina Susandari, S.T., M.T.,Social Sciences,Cognitive Bias,14.0
Hertina Susandari, S.T., M.T.,Social Sciences,Software Development,
Hertina Susandari, S.T., M.T.,Earth and Planetary Sciences,Communities,100.0
Hertina Susandari, S.T., M.T.,Earth and Planetary Sciences,Indonesia,50.0
Hertina Susandari, S.T., M.T.,Earth and Planetary Sciences,Sea Grasses,50.0
Hertina Susandari, S.T., M.T.,Earth and Planetary Sciences,Coral Reef,50.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,Entrepreneurship,61.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,Literature Reviews,50.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,YouTube,50.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,Communities,50.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,Local Economic Development,50.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,Municipal Government,25.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,Social Economics,25.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,South East Asia,25.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,Systematic Review,10.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,Source of Information,5.0
Waluyohadi, S.Ds., M.Ds.,Social Sciences,Information and Communication Technologies,5.0
Waluyohadi, S.Ds., M.Ds.,Economics, Econometrics and Finance,Macroeconomic Performance,100.0
Waluyohadi, S.Ds., M.Ds.,Economics, Econometrics and Finance,Macroeconomic Performance,100.0
Waluyohadi, S.Ds., M.Ds.,Economics, Econometrics and Finance,Macroeconomic Performance,100.0
Waluyohadi, S.Ds., M.Ds.,Economics, Econometrics and Finance,Macroeconomic Performance,100.0
Waluyohadi, S.Ds., M.Ds.,Economics, Econometrics and Finance,Macroeconomic Performance,100.0
Waluyohadi, S.Ds., M.Ds.,Economics, Econometrics and Finance,Macroeconomic Performance,100.0
Waluyohadi, S.Ds., M.Ds.,Economics, Econometrics and Finance,Macroeconomic Performance,100.0
Waluyohadi, S.Ds., M.Ds.,Economics, Econometrics and Finance,Macroeconomic Performance,100.0
Waluyohadi, S.Ds., M.Ds.,Economics, Econometrics and Finance,Macroeconomic Performance,100.0
Waluyohadi, S.Ds., M.Ds.,Engineering,Local Community,100.0
Waluyohadi, S.Ds., M.Ds.,Engineering,Policymakers,25.0
Waluyohadi, S.Ds., M.Ds.,Engineering,Sustainable Urban Development,25.0
Waluyohadi, S.Ds., M.Ds.,Engineering,Development Process,
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Human-Computer Interaction,52.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Case Study,34.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,User-Centered Design,34.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Education Institution,34.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Teaching and Learning,34.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Higher Education,26.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Software Development,19.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Analysis Material,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Educational Game,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Quality Assessment,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Gamification,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Game Development,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Identity Management,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Access Security,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Medical Personnel,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Benchmarking,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Conducting Interview,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Massive Amount,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Comparative Case Study,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Marketing Plan,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Postgraduate Student,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Online Communities,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Computational Simulation,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Design Research,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,head mounted display,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Virtual Reality,17.0
Ellya Zulaikha, S.T., M.Sn., Ph.D.,Computer Science,Distinctiveness,8.0
